variable_id,long_name,units,table_id
evs,Water Evaporation Flux Where Ice Free Ocean over Sea,kg m-2 s-1,Omon
evspsbl,Evaporation,kg m-2 s-1,CFsubhr
evspsbl,Evaporation,kg m-2 s-1,CF3hr
evspsbl,Evaporation Including Sublimation and Transpiration,kg m-2 s-1,Eday
evspsbl,Evaporation Including Sublimation and Transpiration,kg m-2 s-1,Amon
evspsblpot,Potential Evapotranspiration,kg m-2 s-1,Eday
evspsblpot,Potential Evapotranspiration,kg m-2 s-1,Emon
evspsblsoi,Water Evaporation from Soil,kg m-2 s-1,Lmon
evspsblveg,Evaporation from Canopy,kg m-2 s-1,Lmon
evu,Eddy Viscosity Coefficient for Momentum Variables,m2 s-1,CFsubhr
evu,Eddy Viscosity Coefficient for Momentum,m2 s-1,CFmon
exparag,Sinking Aragonite Flux,mol m-2 s-1,Oyr
expc,Downward Flux of Particulate Organic Carbon,mol m-2 s-1,Oyr
expc,Downward Flux of Particulate Organic Carbon,mol m-2 s-1,Omon
expcalc,Downward Flux of Calcite,mol m-2 s-1,Emon
expcalc,Downward Flux of Calcite,mol m-2 s-1,Oyr
expfe,Sinking Particulate Iron Flux,mol m-2 s-1,Emon
expfe,Sinking Particulate Iron Flux,mol m-2 s-1,Oyr
